id,rating,text,clean_text,suggested_tags,delivery_shipping,redemption_activation,product_quality,customer_service,refund_return,usability,value_price,fraud_scam,other,notes
100769,5,An extra 5 bucks for a reload? Heck yeah!,an extra 5 bucks for a reload heck yeah,other,,,,,,,,,,
100775,5,Fast and easy...I will be using this feature again in the future!,fast and easy i will be using this feature again in the future,other,,,,,,,,,,
100780,5,Amazing fast shipping and great looking box.,amazing fast shipping and great looking box,delivery_shipping,,,,,,,,,,
100791,5,I gave this to my grandson for one of his stocking stuffers. He loved it,i gave this to my grandson for one of his stocking stuffers he loved it,other,,,,,,,,,,
100792,5,"Recieved on time!  Was a great gift for my parents for christmas,!  Will definatly order again.",recieved on time was a great gift for my parents for christmas will definatly order again,other,,,,,,,,,,
100796,1,I've uploaded the last time $ 100 and should have received $ 2 back that's 2% Why are you deceiving people?,i ve uploaded the last time 100 and should have received 2 back that s 2 why are you deceiving people,other,,,,,,,,,,
100801,5,Really can't complain about the when it's 20% off the gift card price. Great buy for personal use or as a gift.,really can t NOT_complain NOT_about NOT_the when it s 20 off the gift card price great buy for personal use or as a gift,other,,,,,,,,,,
100807,5,"There's no better gift card than Amazon. I bout this for a gift card Pollyanna, and feel bad for the person who ended up with the Applebee's one. They were not happy at all. The person who ended up with this Amazon one...extremely happy!",there s no NOT_better NOT_gift NOT_card than amazon i bout this for a gift card pollyanna and feel bad for the person who ended up with the applebee s one they were not NOT_happy NOT_at NOT_all the person who ended up with this amazon one extremely happy,other,,,,,,,,,,
100815,5,I purchased this as a birthday gift for my daughter-in-law who lives in another state.  Cute presentation and I was able to include a birthday message.  She received it in 2 days and loved it!,i purchased this as a birthday gift for my daughter in law who lives in another state cute presentation and i was able to include a birthday message she received it in 2 days and loved it,other,,,,,,,,,,
10082,5,Great Gift!,great gift,other,,,,,,,,,,
100821,5,Was a wonderful addition to the 'Saran Wrap Ball' Christmas Party Game!,was a wonderful addition to the saran wrap ball christmas party game,other,,,,,,,,,,
100828,5,Loved the presentation of this floral box,loved the presentation of this floral box,other,,,,,,,,,,
100831,5,"Excellent, Expedient Service.",excellent expedient service,other,,,,,,,,,,
100836,5,Very convenient!,very convenient,other,,,,,,,,,,
100839,5,delivery and order went smooth  this is a Christmas gift,delivery and order went smooth this is a christmas gift,delivery_shipping,,,,,,,,,,
100841,5,useful,useful,other,,,,,,,,,,
100847,5,It's a gift card used to buy what you want.,it s a gift card used to buy what you want,other,,,,,,,,,,
100853,5,Easy to use and buy,easy to use and buy,other,,,,,,,,,,
100861,5,"It says there's Rewards the first purchase gift card of $100 on line. I purchaseed $200,But I didn't get the reward. I have no idea why no reward.",it says there s rewards the first purchase gift card of 100 on line i purchaseed 200 but i didn t NOT_get NOT_the NOT_reward i have no NOT_idea NOT_why no NOT_reward,other,,,,,,,,,,
100862,5,very good,very good,other,,,,,,,,,,
100878,5,"Ordered 5 cards in 2 separate orders, all 5 were activated and worked at the store.  Thank you.",ordered 5 cards in 2 separate orders all 5 were activated and worked at the store thank you,other,,,,,,,,,,
10089,5,Always the perfect gift!,always the perfect gift,other,,,,,,,,,,
100899,5,"I guess the gift card met my expectations. I mean if my expectations were that I would order this card, wait for it to arrive, go to Applebees after delivery, and successfully order dinner with my wife........then yes, the card met my expectations.",i guess the gift card met my expectations i mean if my expectations were that i would order this card wait for it to arrive go to applebees after delivery and successfully order dinner with my wife then yes the card met my expectations,delivery_shipping,,,,,,,,,,
1009,5,good,good,other,,,,,,,,,,
100905,5,Cute!,cute,other,,,,,,,,,,
100906,5,As described. Received on time. Beautiful gift box.,as described received on time beautiful gift box,other,,,,,,,,,,
100915,5,Very Cute and super fast delivery.,very cute and super fast delivery,delivery_shipping,,,,,,,,,,
100941,5,Worked Great,worked great,other,,,,,,,,,,
100942,5,Perfect worked great,perfect worked great,other,,,,,,,,,,
100945,5,Fast the reload,fast the reload,other,,,,,,,,,,
10095,5,These gift cards are a perfect gifts and cheesecake and a cup of coffee make the perfect afternoon delight,these gift cards are a perfect gifts and cheesecake and a cup of coffee make the perfect afternoon delight,other,,,,,,,,,,
100952,5,Good.,good,other,,,,,,,,,,
100961,4,I ordered 3 at the same time. One was fine but two came with the clear wrapping torn off.,i ordered 3 at the same time one was fine but two came with the clear wrapping torn off,other,,,,,,,,,,
100962,5,Gift,gift,other,,,,,,,,,,
100974,5,Perfect birthday presentation.  Very pretty,perfect birthday presentation very pretty,other,,,,,,,,,,
100976,5,Bla bla blaaa morning,bla bla blaaa morning,other,,,,,,,,,,
100977,5,Just wanted to make sure it said who the gift was from,just wanted to make sure it said who the gift was from,other,,,,,,,,,,
100981,5,"The money was in my account, so I guess great!",the money was in my account so i guess great,other,,,,,,,,,,
100984,5,All fine,all fine,other,,,,,,,,,,
100985,4,Likewise neat.,likewise neat,other,,,,,,,,,,
100996,5,Exactly what I wanted for Christmas presents for the family.,exactly what i wanted for christmas presents for the family,other,,,,,,,,,,
101001,1,Promotion was not honored,promotion was not NOT_honored,other,,,,,,,,,,
101004,5,Makes it so easy,makes it so easy,other,,,,,,,,,,
101014,5,I used to reload my Amazon Gift Card Balance reload with Credit card. I makes me to control my budget to buy books online. Thanks!,i used to reload my amazon gift card balance reload with credit card i makes me to control my budget to buy books online thanks,other,,,,,,,,,,
101018,5,Easy to add money to an account,easy to add money to an account,other,,,,,,,,,,
101024,5,bye again,bye again,other,,,,,,,,,,
101027,5,LOVE IT,love it,other,,,,,,,,,,
101028,5,As expected,as expected,other,,,,,,,,,,
101035,5,Ibought two for a set of sox!,ibought two for a set of sox,other,,,,,,,,,,
101049,5,Super cute gift card a d a great gift!,super cute gift card a d a great gift,other,,,,,,,,,,
101061,5,I did not do this,i did not NOT_do NOT_this,other,,,,,,,,,,
101063,5,He loved it.,he loved it,other,,,,,,,,,,
101064,1,Received this as a gift since I enjoy spotify.  Tried to add it to my family account and for some reason it won't let you.  Tried to get a refund but it is non-refundable.,received this as a gift since i enjoy spotify tried to add it to my family account and for some reason it won t NOT_let NOT_you tried to get a refund but it is non refundable,refund_return,,,,,,,,,,
101065,4,The Visa gift card is as advertised.  I bought 2 $200 gc and they were good gifts and were legit,the visa gift card is as advertised i bought 2 200 gc and they were good gifts and were legit,other,,,,,,,,,,
10107,5,Works as it’s supposed to - purchased to give as individual $10 gifts,works as it s supposed to purchased to give as individual 10 gifts,other,,,,,,,,,,
101070,4,This gift card was so cute! The only thing I didn't like was on the back of the gift card box there is a little window that allows you to see the gift card #/ barcode which gives it away,this gift card was so cute the only thing i didn t NOT_like NOT_was NOT_on the back of the gift card box there is a little window that allows you to see the gift card barcode which gives it away,other,,,,,,,,,,
101071,5,Thankyou,thankyou,other,,,,,,,,,,
101089,5,"I went to four separate stores not realizing that Amazon provides free over-night delivery on their gift cards!! Plus I got a very cute card to go with it and was able to choose the designs.  Overall, I am very pleased.",i went to four separate stores not NOT_realizing NOT_that NOT_amazon provides free over night delivery on their gift cards plus i got a very cute card to go with it and was able to choose the designs overall i am very pleased,delivery_shipping,,,,,,,,,,
101093,5,Great Christmas gifts!,great christmas gifts,other,,,,,,,,,,
101106,5,This was great got it in the big Amazon sale for $40. What a great bargain for one of my favorite stores.,this was great got it in the big amazon sale for 40 what a great bargain for one of my favorite stores,other,,,,,,,,,,
101112,5,a lovely teddy bear and ... free,a lovely teddy bear and free,other,,,,,,,,,,
101114,5,Nice product,nice product,other,,,,,,,,,,
101129,5,"I buy these cards every once in a while just as a treat for my son and his wife. They do a lot of shopping on Amamzon. Great gift idea for Birthdays, Christmas, Easter, Halloween as a treat, etc.",i buy these cards every once in a while just as a treat for my son and his wife they do a lot of shopping on amamzon great gift idea for birthdays christmas easter halloween as a treat etc,other,,,,,,,,,,
101135,5,Easy to use,easy to use,other,,,,,,,,,,
101147,5,App performs well across all platforms.  Great way to manage your Amazon Gift Cards!,app performs well across all platforms great way to manage your amazon gift cards,other,,,,,,,,,,
101148,5,good thank you,good thank you,other,,,,,,,,,,
101162,1,ALL 5 of the gift cards purchased were not valid. BEWARE!,all 5 of the gift cards purchased were not NOT_valid beware,other,,,,,,,,,,
101166,5,A Great deal.,a great deal,other,,,,,,,,,,
101169,5,"Was easy to reload to my Amazon balance and use just like any other payment method. The questions re comfortable and durability don't really apply, so I just split the difference.",was easy to reload to my amazon balance and use just like any other payment method the questions re comfortable and durability don t NOT_really NOT_apply so i just split the difference,other,,,,,,,,,,
101175,5,Good,good,other,,,,,,,,,,
101178,5,I like that I can use it like a regular card.,i like that i can use it like a regular card,other,,,,,,,,,,
10118,5,Good~~~,good,other,,,,,,,,,,
101182,5,My niece loved how it came and in 2 minutes she put the$$ into her Amazon app wallet,my niece loved how it came and in 2 minutes she put the into her amazon app wallet,other,,,,,,,,,,
101184,1,"DO NOT BUY!! Visa steals money. I know what I purchased and I know I had a remaining balance. Yet, the visa claims I used all of it",do not NOT_buy visa steals money i know what i purchased and i know i had a remaining balance yet the visa claims i used all of it,other,,,,,,,,,,
101194,5,need i say why,need i say why,other,,,,,,,,,,
10120,5,Bueno,bueno,other,,,,,,,,,,
101215,5,I had happy grandchildren when they unwrapped these at Christmas!!,i had happy grandchildren when they unwrapped these at christmas,other,,,,,,,,,,
101220,5,"I heard only delights from the packaging.  As far as how easy it is to get them out, I didn't see them being removed.  But my grand children loved the Santa on them!  Thank you for your speed in getting them to me!  Happy New Year!",i heard only delights from the packaging as far as how easy it is to get them out i didn t NOT_see NOT_them NOT_being removed but my grand children loved the santa on them thank you for your speed in getting them to me happy new year,other,,,,,,,,,,
101221,5,"Fast and easy, thanks!",fast and easy thanks,other,,,,,,,,,,
101229,5,Great office gift,great office gift,other,,,,,,,,,,
10123,5,cute tin,cute tin,other,,,,,,,,,,
101233,5,cute birthday cake tin that brings a smile and gives choices as a gift,cute birthday cake tin that brings a smile and gives choices as a gift,other,,,,,,,,,,
101234,5,Given as a birthday gift  The slide concept was easy to use.  The penguins made the birthday present even more enjoyable.,given as a birthday gift the slide concept was easy to use the penguins made the birthday present even more enjoyable,other,,,,,,,,,,
101246,1,Account was hacked for this purchase.,account was hacked for this purchase,fraud_scam,,,,,,,,,,
101247,5,Works great,works great,other,,,,,,,,,,
101258,5,Smooth and easy transaction.  Product arrived just as described.  Highly recommend!!!,smooth and easy transaction product arrived just as described highly recommend,delivery_shipping,,,,,,,,,,
101260,2,The magnetic strip did not work. So the cashier had to type in the card number several times. Embarrassing!,the magnetic strip did not NOT_work so the cashier had to type in the card number several times embarrassing,other,,,,,,,,,,
101269,5,Christmas gifts.  Everybody loves them so they can get what they want.,christmas gifts everybody loves them so they can get what they want,other,,,,,,,,,,
101280,5,It's a gift card...,it s a gift card,other,,,,,,,,,,
101282,5,It's a gift card...,it s a gift card,other,,,,,,,,,,
101294,5,"Such a cute teddy bear! I got a polar bear w/ gc last yeat, and happy to see that he's got a friend now.<br />These bears are indeed best gifts of the season, either to reward oneself, or to surprise someone.<br />Can't wait to see what I will get next year!",such a cute teddy bear i got a polar bear w gc last yeat and happy to see that he s got a friend now br these bears are indeed best gifts of the season either to reward oneself or to surprise someone br can t NOT_wait NOT_to NOT_see what i will get next year,other,,,,,,,,,,
101300,5,My dad loves buying online. Great gift option.,my dad loves buying online great gift option,other,,,,,,,,,,
101306,5,Arrived as expected!,arrived as expected,delivery_shipping,,,,,,,,,,
101307,1,I gave this for christmas. The person I gave it to yusef today and the clerk said that there was nothing on it. Waste of money I can't even get a return.,i gave this for christmas the person i gave it to yusef today and the clerk said that there was nothing on it waste of money i can t NOT_even NOT_get NOT_a return,refund_return|value_price,,,,,,,,,,
10131,5,"Cool pop up box, nice fun way to present your gift card :)",cool pop up box nice fun way to present your gift card,other,,,,,,,,,,
101318,5,Fast delivery and exactly as described.,fast delivery and exactly as described,delivery_shipping,,,,,,,,,,
10132,5,great,great,other,,,,,,,,,,
101335,5,I ordered the gift card one evening and received it in the mail the next day.  Cute gift box - looks exactly like the photo and can be used again.,i ordered the gift card one evening and received it in the mail the next day cute gift box looks exactly like the photo and can be used again,other,,,,,,,,,,
101365,5,The packaging was fun for a graduation gift.,the packaging was fun for a graduation gift,other,,,,,,,,,,
10137,5,Quick and easy,quick and easy,other,,,,,,,,,,
101370,5,"It was brand new and arrived quickly. I just wish the packaging had been smaller, because this is incredibly wasteful.",it was brand new and arrived quickly i just wish the packaging had been smaller because this is incredibly wasteful,delivery_shipping,,,,,,,,,,
101372,5,Made my shopping easy didn't had to stop and get separate cards,made my shopping easy didn t NOT_had NOT_to NOT_stop and get separate cards,other,,,,,,,,,,
101377,2,I didnt see the $10.00 reward when I reloaded,i didnt NOT_see NOT_the NOT_10 00 reward when i reloaded,other,,,,,,,,,,
101381,5,Received the right amount & fast delivery .,received the right amount fast delivery,delivery_shipping,,,,,,,,,,
101389,4,Easy to do.,easy to do,other,,,,,,,,,,
101394,5,Came the next Day<br />I have order as a gift before<br />You can write a note for any occasion<br />Great if you for got someone BD<br />Would highly recommend,came the next day br i have order as a gift before br you can write a note for any occasion br great if you for got someone bd br would highly recommend,other,,,,,,,,,,
10140,5,Watch how you reload your card because it'll make you purchase a another amount. I reloaded the card that I've got and it charged me for $ 150.00 as a reload amount when I only loaded $ 50.00 to my gift card that I've already got.,watch how you reload your card because it ll make you purchase a another amount i reloaded the card that i ve got and it charged me for 150 00 as a reload amount when i only loaded 50 00 to my gift card that i ve already got,other,,,,,,,,,,
10141,5,Got the men this for Christmas! Got in two days and already used! I didn't even have to go out to a store !  Yay!,got the men this for christmas got in two days and already used i didn t NOT_even NOT_have NOT_to go out to a store yay,other,,,,,,,,,,
101419,5,Real easy to use and reload. Just hold on to your wallet - it's so easy to up the anti.,real easy to use and reload just hold on to your wallet it s so easy to up the anti,other,,,,,,,,,,
101423,5,was quickly inserted into my account!,was quickly inserted into my account,other,,,,,,,,,,
101430,5,Happy,happy,other,,,,,,,,,,
101431,5,Was a gift,was a gift,other,,,,,,,,,,
101443,5,Gifted to a friend who was very excited to get it.,gifted to a friend who was very excited to get it,other,,,,,,,,,,
101451,5,very good value when they offer the five dollar credit for refill,very good value when they offer the five dollar credit for refill,other,,,,,,,,,,
101454,5,Everyone likes gift cards.,everyone likes gift cards,other,,,,,,,,,,
101456,5,Amazon gift cards are the best!,amazon gift cards are the best,other,,,,,,,,,,
